__run_id,__done,_compiler,_benchmark,execution_time,cpu_usage,memory_usage,energy_consumption
run_17_repetition_12,DONE,cython,regex,0.4,4.835,8551337.0,7.397
run_18_repetition_6,DONE,cython,sieve,0.201,4.125,8557534.667,1.509
run_4_repetition_10,DONE,pure_python,json_bench,1.802,6.955,8606933.818,41.849
run_24_repetition_3,DONE,swig,json_bench,1.401,6.785,8639426.667,29.881
run_29_repetition_9,DONE,swig,nbody,1.601,7.28,8575798.0,38.691
run_24_repetition_1,DONE,swig,json_bench,1.4,6.48,8617891.111,31.204
run_12_repetition_11,DONE,cython,dense_matrix,0.201,15.303,8568386.667,4.801
run_17_repetition_9,DONE,cython,regex,0.401,4.57,8564568.0,7.31
run_26_repetition_10,DONE,swig,quick_sort,0.401,4.27,8575720.0,5.589
run_21_repetition_18,DONE,swig,convex,0.401,4.582,8589868.0,7.642
run_3_repetition_13,DONE,pure_python,fft,0.2,11.083,8558058.667,3.518
run_5_repetition_18,DONE,pure_python,k_means,3.801,7.557,8560831.619,94.412
run_22_repetition_6,DONE,swig,dense_matrix,0.401,16.683,8545210.0,14.152
run_26_repetition_5,DONE,swig,quick_sort,0.201,4.807,8523056.0,3.671
run_21_repetition_9,DONE,swig,convex,0.401,5.053,8575853.0,7.747
run_3_repetition_4,DONE,pure_python,fft,0.201,15.516,8584156.0,3.547
run_25_repetition_9,DONE,swig,k_means,0.201,4.898,8557238.667,4.052
run_28_repetition_17,DONE,swig,sieve,0.201,3.368,8541254.667,2.469
run_3_repetition_2,DONE,pure_python,fft,0.201,16.256,8544546.667,3.84
run_11_repetition_17,DONE,cython,convex,0.401,12.712,8555547.0,9.329
run_16_repetition_2,DONE,cython,quick_sort,0.401,4.592,8568209.0,5.771
run_23_repetition_5,DONE,swig,fft,0.2,15.958,8565578.667,4.701
run_6_repetition_0,DONE,pure_python,quick_sort,1.602,6.318,8570125.2,37.987
run_22_repetition_4,DONE,swig,dense_matrix,0.401,16.032,8573749.0,11.657
run_29_repetition_18,DONE,swig,nbody,1.601,6.287,8583850.8,37.699
run_4_repetition_8,DONE,pure_python,json_bench,1.801,7.062,8577235.636,41.852
run_27_repetition_2,DONE,swig,regex,0.2,4.959,8578654.667,3.95
run_29_repetition_6,DONE,swig,nbody,1.601,7.353,8573556.8,39.994
run_4_repetition_19,DONE,pure_python,json_bench,1.802,6.438,8603910.545,37.301
run_16_repetition_14,DONE,cython,quick_sort,0.402,4.27,8597244.0,6.305
run_0_repetition_4,DONE,pure_python,bfs,1.001,5.697,8619827.429,18.939
run_26_repetition_13,DONE,swig,quick_sort,0.401,4.145,8583784.0,5.442
run_15_repetition_6,DONE,cython,k_means,0.201,4.737,8579690.667,3.425
run_19_repetition_10,DONE,cython,nbody,1.601,7.078,8586450.4,40.004
run_4_repetition_2,DONE,pure_python,json_bench,1.802,6.431,8600408.364,39.023
run_1_repetition_18,DONE,pure_python,convex,4.402,7.677,8570518.5,114.493
run_26_repetition_18,DONE,swig,quick_sort,0.201,4.519,8554332.0,3.739
run_11_repetition_13,DONE,cython,convex,0.401,12.641,8584548.0,9.324
run_9_repetition_13,DONE,pure_python,nbody,3.602,7.187,8559168.8,90.712
run_9_repetition_19,DONE,pure_python,nbody,3.802,7.273,8561213.333,96.365
run_12_repetition_12,DONE,cython,dense_matrix,0.2,17.403,8548388.0,6.697
run_8_repetition_14,DONE,pure_python,sieve,0.601,5.192,8559516.0,9.644
run_15_repetition_10,DONE,cython,k_means,0.201,4.226,8557968.0,3.476
run_18_repetition_14,DONE,cython,sieve,0.201,6.794,8561086.667,1.311
run_20_repetition_4,DONE,swig,bfs,0.2,4.417,8548152.0,3.176
run_18_repetition_15,DONE,cython,sieve,0.201,3.615,8522277.333,1.399
run_16_repetition_19,DONE,cython,quick_sort,0.401,6.023,8532838.0,7.14
run_4_repetition_9,DONE,pure_python,json_bench,1.802,6.222,8566318.909,37.802
run_11_repetition_16,DONE,cython,convex,0.401,16.044,8603624.0,9.769
run_2_repetition_2,DONE,pure_python,dense_matrix,0.201,14.075,8568673.333,4.239
run_29_repetition_0,DONE,swig,nbody,1.601,6.806,8582420.0,39.524
run_13_repetition_3,DONE,cython,fft,0.201,12.022,8550365.333,3.675
run_6_repetition_4,DONE,pure_python,quick_sort,1.601,6.467,8555939.2,37.284
run_20_repetition_9,DONE,swig,bfs,0.201,4.137,8548494.667,3.494
run_25_repetition_3,DONE,swig,k_means,0.201,5.015,8532930.667,3.53
run_19_repetition_6,DONE,cython,nbody,1.801,7.253,8573177.455,44.517
run_9_repetition_2,DONE,pure_python,nbody,3.802,7.214,8564755.238,96.168
run_20_repetition_14,DONE,swig,bfs,0.201,4.684,8552169.333,3.075
run_20_repetition_10,DONE,swig,bfs,0.201,4.596,8563009.333,3.957
run_0_repetition_2,DONE,pure_python,bfs,1.001,5.714,8585653.143,18.959
run_24_repetition_11,DONE,swig,json_bench,1.402,6.347,8638125.778,29.796
run_19_repetition_19,DONE,cython,nbody,1.601,6.459,8627062.8,37.26
run_7_repetition_14,DONE,pure_python,regex,0.401,5.354,8561924.0,7.59
run_13_repetition_7,DONE,cython,fft,0.201,12.465,8542188.0,4.41
run_20_repetition_13,DONE,swig,bfs,0.201,4.488,8542428.0,2.792
run_11_repetition_8,DONE,cython,convex,0.401,12.828,8563286.0,9.296
run_3_repetition_10,DONE,pure_python,fft,0.2,12.184,8545860.0,3.607
run_19_repetition_0,DONE,cython,nbody,1.601,6.402,8555137.2,39.607
run_25_repetition_4,DONE,swig,k_means,0.201,4.528,8530806.667,3.637
run_13_repetition_10,DONE,cython,fft,0.2,12.558,8539388.0,3.892
run_18_repetition_17,DONE,cython,sieve,0.0,2.932,8535218.0,0.659
run_25_repetition_0,DONE,swig,k_means,0.2,4.784,8537058.667,3.489
run_6_repetition_8,DONE,pure_python,quick_sort,1.602,6.401,8540552.4,37.984
run_7_repetition_15,DONE,pure_python,regex,0.401,5.003,8533839.0,7.301
run_20_repetition_17,DONE,swig,bfs,0.2,4.754,8532920.0,3.546
run_22_repetition_9,DONE,swig,dense_matrix,0.4,14.114,8535968.0,11.799
run_20_repetition_15,DONE,swig,bfs,0.201,5.258,8548528.0,2.864
